provinsi,mappingtarget
Aceh,0
Sumatera Barat,2
Yogyakarta,13
Sumatera Utara,1
Bangka-Belitung,8
Papua Barat,32
Jawa Timur,14
Kalimantan Barat,19
Kalimantan Selatan,21
Kalimantan Timur,22
Kepulauan Riau,9
Lampung,7
Maluku,30
Maluku Utara,31
Nusa Tenggara Barat,17
Nusa Tenggara Timur,18
Papua,33
Riau,3
Sulawesi Selatan,26
Bengkulu,6
Sulawesi Tengah,25
Sulawesi Utara,24
Sulawesi Tenggara,27
Bali,16
Banten,15
Gorontalo,28
DKI Jakarta,10
Jambi,4
Jawa Barat,11
Jawa Tengah,12
Kalimantan Tengah,20
Sulawesi Barat,29
Sumatera Selatan,5
Kalimantan Utara,23
